ID	MumID	Sex	LambAgeAugust	BirthYearF	RunDate	Plate	Age	AgeF	CapYearF	CapYear	LambAdult	IgAmp	IgEmp	IgGmp
6996	5528	F	NA	2008	42304	10	3	3	2011	2011	Adults	1.423606129	1.834923777	0.607098643
6996	5528	F	NA	2008	42320	20	4	4	2012	2012	Adults	1.360871592	1.82142648	0.708261954
6996	5528	F	NA	2008	42313	14	5	5	2013	2013	Adults	1.11491384	1.760100096	NA
6996	5528	F	NA	2008	42311	2	6	6	2014	2014	Adults	0.903958605	1.431435628	0.641583153
6996	5528	F	NA	2008	42327	23	7	7	2015	2015	Adults	1.044621638	1.741051485	0.525825045
6997	5528	F	NA	2008	42384	41	0	0	2008	2008	Lambs	0.900733978	0.447546891	0.068987597
6998	6371	M	NA	2008	42384	41	0	0	2008	2008	Lambs	0.01106369	0.011435542	0.033196369
6998	6371	M	NA	2008	42390	45	1	1	2009	2009	Adults	1.117830076	0.681621692	0.64267107
6998	6371	M	NA	2008	42376	33	2	2	2010	2010	Adults	0.188870441	0.277889483	0.345041197
6998	6371	M	NA	2008	42304	10	3	3	2011	2011	Adults	0.650956943	0.454323496	0.657848746
6998	6371	M	NA	2008	42320	20	4	4	2012	2012	Adults	0.734482501	0.393452709	0.651339263
6999	4455	F	NA	2008	42384	41	0	0	2008	2008	Lambs	0.026768615	0	0.11341294
6999	4455	F	NA	2008	42390	45	1	1	2009	2009	Adults	0.2563429	0.58718514	1.004835286
6999	4455	F	NA	2008	42304	10	3	3	2011	2011	Adults	0.151647332	0.693002966	0.915014996
6999	4455	F	NA	2008	42311	1	6	6	2014	2014	Adults	0.464230625	0.712470877	0.808959474
7000	4361	M	NA	2008	42384	41	0	0	2008	2008	Lambs	0.379908344	0.010749409	0.0715323
7001	5536	M	NA	2008	42384	41	0	0	2008	2008	Lambs	0.433476633	0.030266067	0.122228634
7001	5536	M	NA	2008	42390	45	1	1	2009	2009	Adults	1.799698018	1.06156967	0.736543517
7001	5536	M	NA	2008	42376	33	2	2	2010	2010	Adults	1.592501764	0.61972058	0.270373784
7002	6546	M	NA	2008	42384	41	0	0	2008	2008	Lambs	0.175583277	0.022718609	0.08057835
7003	5733	M	NA	2008	42384	41	0	0	2008	2008	Lambs	1.046700673	0.007928642	0.155055107
7003	5733	M	NA	2008	42390	45	1	1	2009	2009	Adults	2.05282104	0.090624335	1.125519222
7003	5733	M	NA	2008	42376	33	2	2	2010	2010	Adults	2.322188471	0.160202524	0.579907147
7003	5733	M	NA	2008	42304	10	3	3	2011	2011	Adults	1.406093711	0.347381633	0.62373633
7003	5733	M	NA	2008	42313	14	5	5	2013	2013	Adults	0.949514052	0.60253877	0.675543788
7003	5733	M	NA	2008	42311	2	6	6	2014	2014	Adults	1.487322647	0.629542862	0.677701575
7004	4499	F	NA	2008	42384	41	0	0	2008	2008	Lambs	0.00541694	0	0.10563245
7004	4499	F	NA	2008	42376	33	2	2	2010	2010	Adults	0.927727367	0.556587652	0.47413585
7004	4499	F	NA	2008	42319	19	4	4	2012	2012	Adults	1.549618044	0.782984363	0.524015827
7004	4499	F	NA	2008	42313	14	5	5	2013	2013	Adults	1.050361005	1.166319884	0.571475159
